Year,Country,Imports,Country Key,Iterating Key
2012,Norway,735.4431612,30,23
2013,Norway,781.4842885,30,24
2014,Norway,743.1754294,30,25
2015,Norway,799.7403054,30,26
2016,Norway,799.1477071,30,27
2017,Norway,800.8572992,30,28
2018,Norway,743.340422,30,29
2019,Norway,785.890388,30,30
1990,Russian Federation,0,31,1
1991,Russian Federation,0,31,2
1992,Russian Federation,1381.858008,31,3
1993,Russian Federation,1794.946013,31,4
1994,Russian Federation,1725.730019,31,5
1995,Russian Federation,1728.144014,31,6
1996,Russian Federation,1127.972007,31,7
1997,Russian Federation,2185.288451,31,8
1998,Russian Federation,1731.917618,31,9
1999,Russian Federation,1368.077167,31,10
2000,Russian Federation,1890.452907,31,11
2001,Russian Federation,3056.870014,31,12
2002,Russian Federation,3504.015215,31,13
2003,Russian Federation,3772.287546,31,14
2004,Russian Federation,3205.391451,31,15
2005,Russian Federation,3335.803479,31,16
2006,Russian Federation,3465.140201,31,17
2007,Russian Federation,4317.898997,31,18
2008,Russian Federation,4053.18973,31,19
2009,Russian Federation,3553.16129,31,20
2010,Russian Federation,4155.256924,31,21
2011,Russian Federation,4217.682792,31,22
2012,Russian Federation,4174.744623,31,23
2013,Russian Federation,4410.193461,31,24
2014,Russian Federation,4746.949627,31,25
2015,Russian Federation,4710.038146,31,26
2016,Russian Federation,5232.881169,31,27
2017,Russian Federation,5467.782682,31,28
2018,Russian Federation,5287.541562,31,29
2019,Russian Federation,5916.632578,31,30
1990,Switzerland,1170.508002,32,1
1991,Switzerland,1130.292002,32,2
1992,Switzerland,1101.251002,32,3
1993,Switzerland,1059.878001,32,4
1994,Switzerland,1099.406002,32,5
1995,Switzerland,1016.829001,32,6
1996,Switzerland,1111.627001,32,7
1997,Switzerland,970.7720002,32,8
1998,Switzerland,1111.835002,32,9
1999,Switzerland,1138.926001,32,10
2000,Switzerland,1171.482997,32,11
2001,Switzerland,1254.537679,32,12
2002,Switzerland,1216.744837,32,13
2003,Switzerland,1321.869895,32,14
2004,Switzerland,1236.295494,32,15
2005,Switzerland,1641.049328,32,16
2006,Switzerland,1502.620282,32,17
2007,Switzerland,1823.108405,32,18
2008,Switzerland,1977.688133,32,19
2009,Switzerland,2101.000428,32,20
2010,Switzerland,2317.60603,32,21
2011,Switzerland,2497.914144,32,22
2012,Switzerland,2477.957193,32,23
2013,Switzerland,2666.7507,32,24
2014,Switzerland,2643.106314,32,25
2015,Switzerland,2747.858508,32,26
2016,Switzerland,2816.026086,32,27
2017,Switzerland,2903.618083,32,28
2018,Switzerland,3086.018913,32,29
2019,Switzerland,3228.382979,32,30
1990,Tunisia,100.999998,33,1
1991,Tunisia,90.2010012,33,2
1992,Tunisia,110.5830012,33,3
1993,Tunisia,100.6240008,33,4
1994,Tunisia,137.2670004,33,5
1995,Tunisia,136.7830008,33,6
1996,Tunisia,143.6500008,33,7
1997,Tunisia,164.6170008,33,8
1998,Tunisia,147.417,33,9
1999,Tunisia,185.7474234,33,10
2000,Tunisia,192.4495529,33,11
2001,Tunisia,232.9997304,33,12
2002,Tunisia,235.5659343,33,13
2003,Tunisia,123.1478844,33,14
2004,Tunisia,263.9106944,33,15
2005,Tunisia,189.9735264,33,16
2006,Tunisia,209.4635923,33,17
2007,Tunisia,253.4181323,33,18
2008,Tunisia,317.612091,33,19
2009,Tunisia,288.7988684,33,20
2010,Tunisia,304.0903304,33,21
2011,Tunisia,428.7820528,33,22
2012,Tunisia,438.9237008,33,23
2013,Tunisia,438.9672683,33,24
2014,Tunisia,460.0278903,33,25
2015,Tunisia,458.7069518,33,26
2016,Tunisia,465.5530213,33,27
2017,Tunisia,546.1558124,33,28
2018,Tunisia,532.966563,33,29
2019,Tunisia,508.332,33,30
1990,United Kingdom,2898.298008,34,1
1991,United Kingdom,2805.914005,34,2
1992,United Kingdom,3088.172009,34,3
1993,United Kingdom,3196.981011,34,4
1994,United Kingdom,3465.860013,34,5
1995,United Kingdom,2806.723015,34,6
1996,United Kingdom,2903.453114,34,7
1997,United Kingdom,2929.338015,34,8
1998,United Kingdom,3142.408017,34,9
1999,United Kingdom,2907.255011,34,10
2000,United Kingdom,3012.400824,34,11
2001,United Kingdom,3061.827384,34,12
2002,United Kingdom,2971.318204,34,13
2003,United Kingdom,3002.01823,34,14
2004,United Kingdom,3328.680385,34,15
2005,United Kingdom,3433.304189,34,16
2006,United Kingdom,4045.788635,34,17
2007,United Kingdom,3780.54812,34,18
2008,United Kingdom,3967.45769,34,19
2009,United Kingdom,4130.907627,34,20
2010,United Kingdom,4301.908141,34,21
2011,United Kingdom,4183.22988,34,22
2012,United Kingdom,4126.053681,34,23
2013,United Kingdom,4206.090925,34,24
2014,United Kingdom,4318.695591,34,25
2015,United Kingdom,4895.407288,34,26
2016,United Kingdom,5052.293459,34,27
2017,United Kingdom,4989.037899,34,28
2018,United Kingdom,5687.859741,34,29
2019,United Kingdom,5554.363879,34,30
1990,United States of America,21006.78601,35,1
1991,United States of America,19839.63001,35,2
1992,United States of America,22939.03301,35,3
1993,United States of America,19328.72101,35,4
1994,United States of America,16171.24502,35,5
1995,United States of America,17106.85701,35,6
1996,United States of America,19444.53312,35,7
1997,United States of America,20342.74582,35,8
1998,United States of America,21030.40113,35,9
1999,United States of America,22746.43234,35,10
2000,United States of America,23766.83936,35,11
2001,United States of America,21415.14115,35,12
2002,United States of America,21638.91404,35,13
2003,United States of America,22760.1962,35,14
2004,United States of America,23183.95353,35,15
2005,United States of America,23041.51586,35,16
2006,United States of America,23708.76228,35,17
2007,United States of America,24219.28164,35,18
2008,United States of America,24277.00434,35,19
2009,United States of America,23578.06495,35,20
2010,United States of America,24378.01304,35,21
2011,United States of America,26093.39476,35,22
2012,United States of America,26056.16257,35,23
2013,United States of America,27015.54016,35,24
2014,United States of America,27565.49762,35,25
2015,United States of America,27707.6637,35,26
2016,United States of America,28837.83784,35,27
2017,United States of America,29487.88646,35,28
2018,United States of America,28918.20706,35,29
2019,United States of America,30854.07265,35,30
